"","B cell","DC precursor","DC1","DC2","Early Erythroid","Early lymphoid/T","Endothelial cell","Fibroblast","Hepatocyte","HSC_MPP","ILC precursor","Kupffer Cell","Late Erythroid","Mast cell","Megakaryocyte","MEMP","Mid Erythroid","Mono-Mac","Monocyte","Monocyte precursor","Neut-myeloid prog.","NK","pDC precursor","Pre pro B cell","pre-B cell","pro-B cell","VCAM1+ EI macro."
"B cell",494,0,0,0,1,3,0,0,0,2,0,0,1,0,0,0,0,1,0,0,0,6,3,0,76,0,0
"DC precursor",0,93,7,57,0,0,0,0,0,0,0,1,0,0,0,0,0,0,58,70,21,0,2,0,0,0,0
"DC1",0,0,73,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
"DC2",0,2,17,1251,0,0,0,0,0,0,0,0,0,0,0,0,0,280,46,0,0,0,7,0,0,0,0
"Early Erythroid",0,0,0,0,1413,0,0,0,0,0,0,0,0,4,0,47,132,0,0,0,0,0,0,0,0,0,0
"Early lymphoid/T",1,0,0,0,0,305,0,0,0,0,350,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0
"Endothelial cell",1,0,0,0,0,0,563,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
"Fibroblast",0,0,0,0,0,0,6,53,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hepatocyte",0,0,0,0,0,0,0,0,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HSC_MPP",0,0,0,0,0,2,0,1,0,531,0,0,0,0,0,3,0,0,0,0,52,0,0,11,0,5,0
"ILC precursor",0,0,0,0,0,0,0,0,0,0,153,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Kupffer Cell",2,0,0,0,0,0,8,0,0,0,0,5063,0,0,0,0,0,112,2,0,0,0,4,1,0,0,0
"Late Erythroid",0,0,0,0,0,0,0,0,0,0,0,0,141,0,0,0,2,0,0,0,0,1,0,0,0,0,0
"Mast cell",1,0,0,0,9,0,0,0,0,2,0,0,0,532,0,0,0,0,0,0,0,0,0,0,0,0,0
"Megakaryocyte",0,0,0,0,0,0,0,0,0,0,0,0,0,0,357,0,0,0,0,0,0,0,0,0,0,1,0
"MEMP",0,0,0,0,12,0,0,0,0,29,0,0,0,4,98,164,0,0,0,0,0,0,0,0,0,0,0
"Mid Erythroid",0,0,0,0,107,0,0,0,0,0,0,1,32,0,0,0,2040,0,0,0,0,2,0,0,0,1,9
"Mono-Mac",0,0,1,13,0,0,0,0,0,0,0,68,0,0,0,0,0,994,6,0,2,0,2,0,0,0,0
"Monocyte",1,0,0,100,0,0,0,0,0,0,0,0,0,1,0,0,0,40,905,10,1,0,0,0,0,0,0
"Monocyte precursor",0,49,3,28,0,0,0,0,0,0,0,0,0,0,0,0,0,4,13,37,4,0,0,0,0,0,0
"Neut-myeloid prog.",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,54,0,0,0,0,0,0
"NK",0,0,0,0,0,11,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1779,0,0,0,0,0
"pDC precursor",0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,66,0,0,0,0
"Pre pro B cell",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,65,10,10,0
"pre-B cell",72,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,4,4,2,704,461,0
"pro-B cell",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,27,270,0
"VCAM1+ EI macro.",0,0,0,0,0,0,0,0,0,0,0,445,0,0,0,0,0,39,0,0,0,0,0,0,0,0,8
