"","symbol","mean","stddev"
"1","GCG",3.83171237955369,2.72352369942693
"2","GHRL",0.0279055559263817,0.30189761917265
"3","PPY",0.842502072230072,1.71167230264274
"4","IAPP",0.965218355294968,1.55019750022079
"5","PRSS1",0.819505019347149,1.58739944695134
"6","REG1A",1.59534742194194,2.0266634569183
"7","ADAMDEC1",0.00448898393100383,0.0982998650945623
"8","CELA3A",0.38246084309193,1.02218956478097
"9","SST",2.07522155371128,2.1757936791593
"10","CPA1",0.555171170080349,1.19454614270123
"11","REG1B",0.924074185817462,1.61340072859642
"12","TTR",3.90602867012409,2.25072863451355
"13","TFF1",0.0219324419107668,0.226243133675876
"14","NTS",0.00472835235315101,0.103012206580664
"15","CTRB2",0.779969141044957,1.45151382034723
"16","CRISP3",0.00953530315305083,0.146457915839615
"17","BMX",0.00255413383039212,0.0824267281174461
"18","PNLIP",0.542076753066984,1.21101519563471
"19","CPB1",0.609581706684126,1.1772933480084
"20","BATF",0.00364826478953544,0.0667373365636091
"21","CTRB1",0.502390940573916,1.16647658740581
"22","CELA3B",0.189910571508628,0.654468742922132
"23","REG3A",1.08519607805484,1.60852835539711
"24","ACTA1",0.00605689390228562,0.106852753586562
"25","CPA2",0.428418114953058,1.04825734971206
"26","GAST",0.00355811590644646,0.0740504765270004
"27","OLFM4",0.739198834968986,1.36921094447221
"28","MPEG1",0.00691220617822071,0.112516079391133
"29","KCNQ4",0.007140298729675,0.0698796238847104
"30","C1QA",0.0101759440050392,0.168937500008273
"31","ADAM33",0.00238897979540315,0.0504327270334685
"32","CPA3",0.0125957028015226,0.185090460846766
"33","CRP",0.282875095298105,0.88675849341334
"34","SPP1",0.737390505454128,1.50479489513294
"35","PLA2G1B",0.466599712904035,1.05188439988583
"36","CCL21",0.00187499306848965,0.0474923201433752
"37","RGS1",0.0242797130542156,0.22943488546528
"38","PLA2G7",0.0114006554524444,0.168594672593592
"39","AMY2A",0.0890952544486066,0.427414287331182
"40","CD69",0.00285652728979291,0.0676592697591884
"41","TIMP3",0.125047968124067,0.537357931898374
"42","COL3A1",0.20750585786729,0.757732370216245
"43","PAX3",0.00124565307689051,0.0377482976794879
"44","CCDC129",0.00113878524154805,0.0399102891571395
"45","IL24",0.00720423029286371,0.111093482565306
"46","LRMP",0.0128041774606155,0.135018563352146
"47","CSF3",0.0037936194754451,0.089711917105657
"48","CFTR",0.465439662815857,1.02539955028837
"49","SPARC",0.246245754402793,0.851278659717794
"50","CLPS",0.251354029368232,0.816559246505514
"51","KRT17",0.0386314987561621,0.291400224202515
"52","GFI1",0.00536313960089005,0.057006562893408
"53","MMP1",0.053451243974104,0.387474370559928
"54","TMEM257",0.000854992435391891,0.0345151656879126
"55","TM4SF4",1.74411445954709,1.62898620590439
"56","POSTN",0.0208162735918404,0.228226498723385
"57","COL1A2",0.232154132167473,0.797615163349822
"58","MMP7",0.415944419364535,0.977459289043263
"59","CH25H",0.00697884015220899,0.0829159275395594
"60","GLDN",0.00120210509855117,0.0369274680170276
"61","ANKRD1",0.0384728864228016,0.252630086513832
"62","LUM",0.0835853950742741,0.445269658205558
"63","UBQLNL",0.00403621431292049,0.055045029279297
"64","SERPINB7",0.0143518884254971,0.166111263316853
"65","CGA",0.00407730615200046,0.0837120798564044
"66","BTK",0.00441757989479882,0.081095434230842
"67","SERPINA3",1.0774006113457,1.5930521254236
"68","CELA2A",0.305524738828069,0.836022239314719
"69","NCF4",0.006069675697089,0.0847532525375335
"70","RNASE7",0.0130911683713734,0.102650295657581
"71","IRGM",0.00217461700623591,0.0558299107922385
"72","APCS",0.133383341376847,0.509802148784255
"73","MKI67",0.015366797322567,0.167871630400863
"74","CCL20",0.0829730595197161,0.448002578489163
"75","FREM2",0.0315182020333337,0.142145793933835
"76","MMP10",0.0136584879533314,0.163722490646858
"77","CNR1",0.00801847857888206,0.0801822084485271
"78","C1QC",0.0100498361922786,0.162231198880524
"79","FBLN2",0.00729845890513736,0.0917926081768908
"80","CEACAM6",0.167996413117306,0.617531964295698
"81","TCN1",0.10089822297023,0.450387610039493
"82","TRIM10",0.00203302642612597,0.0475894761715178
"83","CD93",0.0251306804072644,0.250995937352127
"84","TYROBP",0.0210215365987831,0.223807969937028
"85","SERPINA1",1.12060367818269,1.43051083780033
"86","RFX4",0.00129689395939382,0.0418376847606041
"87","PFKFB2",0.574897103850812,0.887730845861829
"88","CRISPLD1",0.00255013900239467,0.0454156071394919
"89","SFRP2",0.0937065066582586,0.498046404936796
"90","TNFAIP6",0.0524245826357779,0.295918054609694
"91","CYP2C18",0.0138378746787206,0.120465938126964
"92","STOX1",0.00969536958193329,0.0819200216805506
"93","KIT",0.0196001547569752,0.187529225192061
"94","COL1A1",0.38801154016726,0.935462777398449
"95","UNC13C",0.00114273833465802,0.0308589843162719
"96","IL6",0.0157258572982298,0.155712455097748
"97","LPAR5",0.00179668463754812,0.0419464869250519
"98","PIK3R5",0.0044187735675896,0.0739332739432359
"99","CSPG4",0.00290412546894731,0.0522377551992623
"100","CD300A",0.00900868736849636,0.129162034970891
"101","LAPTM5",0.0229426181498304,0.230098196434321
"102","VCAN",0.0759671372968193,0.382777745692949
"103","GP2",0.233455055683523,0.668103515750937
"104","BGN",0.0981996246120136,0.498292149919098
"105","FGB",0.0656065266691472,0.309903680140118
"106","TDO2",0.00429707494290981,0.0761283440726499
"107","DDIT4L",0.00231913057207267,0.0413090161639413
"108","ALB",0.350845510457252,0.909289467568399
"109","CES1",0.0454910197994933,0.229326773652528
"110","SPINK1",1.06913115921835,1.59713218021929
"111","TBX15",0.00148542278367659,0.0350017858618425
"112","APOF",0.00329578613724423,0.0567171238363966
"113","AIF1",0.0103126990931809,0.107265662852636
"114","UGT1A6",0.00927009848636236,0.0766636833873107
"115","FCAMR",0.000646242241333508,0.0250675309783123
"116","P2RY2",0.0122614332033639,0.0900064805629438
"117","TPSAB1",0.00876845039454937,0.172095437661826
"118","SLC24A2",0.00687315506230976,0.0738435450105843
"119","BCL6B",0.00884512019178729,0.123478629985806
"120","LCP1",0.0384164585186885,0.239381913329156
"121","FAM216B",0.00190912473145801,0.0447020184261912
"122","LY86",0.00219702815306067,0.0502002472720954
"123","GLYCTK",0.063034820906212,0.199894747482772
"124","CCDC17",0.0066913620073084,0.0578343818592812
"125","WNT5A",0.0718497275879175,0.352117572076258
"126","G6PC2",1.09909676099274,1.29508787615435
"127","STC1",0.0832502022655594,0.368516999435883
"128","CYP24A1",0.000875069009560941,0.0362536133279943
"129","FMOD",0.0777621244085405,0.348506347940511
"130","LCN2",0.656732884770948,1.25113670633109
"131","PRSS3",0.471294463991674,1.00016311758527
"132","CELA2B",0.0787768772669518,0.31767546364074
"133","GLRA2",0.000977730412506311,0.0335329731658803
"134","RAMP3",0.00307331151057471,0.0569304010477335
"135","AADAC",0.0419332312603115,0.198232604819216
"136","TGM1",0.0034417362327799,0.0513581819136828
"137","DIO2",0.00337094691880234,0.0577604578731956
"138","THBS1",0.171937558530204,0.549665904771174
"139","NRK",0.00440158700374171,0.052069467851756
"140","KRT19",0.546538941703544,1.04000882220122
"141","SCN4B",0.00292668354574446,0.0454197254198115
"142","CALB2",0.00481975688864299,0.0671320368654101
"143","VWF",0.0114291389695099,0.143683609673659
"144","PBK",0.00808684950189469,0.102689521061315
"145","COL4A1",0.196949436901773,0.653934038882401
"146","ESM1",0.0215600134436137,0.229118232262545
"147","SPRN",0.0144567789034823,0.0942234338153212
"148","GSTA2",0.333881032976244,0.815870145951228
"149","NEAT1",1.4451575868272,1.09388366856662
"150","TGFBI",0.120037810135708,0.473185061470435
"151","ALDH1A3",0.261709295223493,0.67846848034276
"152","CD44",1.13735119858564,1.2385829251598
"153","TOP2A",0.0185197752832047,0.190748113382555
"154","PPP1R16B",0.00327966847350928,0.057990547622303
