cell_id,donor,cell_type,species,batch_nn,dataset,leiden
celseq_D2ex_1,D2,acinar,human,celseq,celseq,2
celseq_D2ex_2,D2,acinar,human,celseq,celseq,2
celseq_D2ex_3,D2,acinar,human,celseq,celseq,2
celseq_D2ex_4,D2,ductal,human,celseq,celseq,1
celseq_D2ex_5,D2,ductal,human,celseq,celseq,1
celseq_D2ex_6,D2,ductal,human,celseq,celseq,1
celseq_D2ex_7,D2,ductal,human,celseq,celseq,1
celseq_D2ex_8,D2,ductal,human,celseq,celseq,15
celseq_D2ex_9,D2,ductal,human,celseq,celseq,1
celseq_D2ex_10,D2,acinar,human,celseq,celseq,2
celseq_D2ex_11,D2,ductal,human,celseq,celseq,16
celseq_D2ex_12,D2,ductal,human,celseq,celseq,1
celseq_D2ex_13,D2,acinar,human,celseq,celseq,1
celseq_D2ex_14,D2,ductal,human,celseq,celseq,1
celseq_D2ex_15,D2,acinar,human,celseq,celseq,2
celseq_D2ex_16,D2,acinar,human,celseq,celseq,2
celseq_D2ex_17,D2,ductal,human,celseq,celseq,1
celseq_D2ex_18,D2,acinar,human,celseq,celseq,2
celseq_D2ex_19,D2,ductal,human,celseq,celseq,1
celseq_D2ex_20,D2,ductal,human,celseq,celseq,1
celseq_D2ex_21,D2,acinar,human,celseq,celseq,2
celseq_D2ex_22,D2,ductal,human,celseq,celseq,1
celseq_D2ex_23,D2,ductal,human,celseq,celseq,1
celseq_D2ex_24,D2,acinar,human,celseq,celseq,2
celseq_D2ex_25,D2,ductal,human,celseq,celseq,1
celseq_D2ex_26,D2,acinar,human,celseq,celseq,2
celseq_D2ex_27,D2,ductal,human,celseq,celseq,1
celseq_D2ex_28,D2,ductal,human,celseq,celseq,2
celseq_D2ex_29,D2,ductal,human,celseq,celseq,1
celseq_D2ex_30,D2,ductal,human,celseq,celseq,1
celseq_D2ex_33,D2,ductal,human,celseq,celseq,1
celseq_D2ex_34,D2,acinar,human,celseq,celseq,2
celseq_D2ex_35,D2,ductal,human,celseq,celseq,1
celseq_D2ex_36,D2,ductal,human,celseq,celseq,1
celseq_D2ex_37,D2,acinar,human,celseq,celseq,2
celseq_D2ex_38,D2,ductal,human,celseq,celseq,1
celseq_D2ex_40,D2,acinar,human,celseq,celseq,2
celseq_D2ex_41,D2,acinar,human,celseq,celseq,2
celseq_D2ex_43,D2,beta,human,celseq,celseq,3
celseq_D2ex_44,D2,acinar,human,celseq,celseq,2
celseq_D2ex_46,D2,acinar,human,celseq,celseq,2
celseq_D2ex_47,D2,ductal,human,celseq,celseq,1
celseq_D2ex_49,D2,ductal,human,celseq,celseq,12
celseq_D2ex_51,D2,acinar,human,celseq,celseq,2
celseq_D2ex_52,D2,ductal,human,celseq,celseq,1
celseq_D2ex_53,D2,ductal,human,celseq,celseq,1
celseq_D2ex_55,D2,ductal,human,celseq,celseq,1
celseq_D2ex_56,D2,ductal,human,celseq,celseq,1
celseq_D2ex_57,D2,ductal,human,celseq,celseq,1
celseq_D2ex_58,D2,ductal,human,celseq,celseq,1
celseq_D2ex_59,D2,acinar,human,celseq,celseq,2
celseq_D2ex_61,D2,acinar,human,celseq,celseq,2
celseq_D2ex_62,D2,ductal,human,celseq,celseq,1
celseq_D2ex_66,D2,acinar,human,celseq,celseq,2
celseq_D2ex_67,D2,ductal,human,celseq,celseq,1
celseq_D2ex_68,D2,ductal,human,celseq,celseq,1
celseq_D2ex_69,D2,acinar,human,celseq,celseq,2
celseq_D2ex_70,D2,acinar,human,celseq,celseq,2
celseq_D2ex_71,D2,ductal,human,celseq,celseq,1
celseq_D2ex_72,D2,ductal,human,celseq,celseq,1
celseq_D2ex_73,D2,ductal,human,celseq,celseq,16
celseq_D2ex_74,D2,ductal,human,celseq,celseq,1
celseq_D2ex_75,D2,ductal,human,celseq,celseq,1
celseq_D2ex_76,D2,acinar,human,celseq,celseq,2
celseq_D2ex_77,D2,ductal,human,celseq,celseq,15
celseq_D2ex_78,D2,ductal,human,celseq,celseq,0
celseq_D2ex_79,D2,acinar,human,celseq,celseq,2
celseq_D2ex_82,D2,ductal,human,celseq,celseq,1
celseq_D2ex_83,D2,ductal,human,celseq,celseq,1
celseq_D2ex_84,D2,ductal,human,celseq,celseq,1
celseq_D2ex_85,D2,ductal,human,celseq,celseq,1
celseq_D2ex_86,D2,acinar,human,celseq,celseq,2
celseq_D2ex_88,D2,ductal,human,celseq,celseq,1
celseq_D2ex_89,D2,ductal,human,celseq,celseq,1
celseq_D2ex_90,D2,ductal,human,celseq,celseq,15
celseq_D2ex_92,D2,acinar,human,celseq,celseq,2
celseq_D3en1_5,D3,acinar,human,celseq,celseq,12
celseq_D3en1_10,D3,acinar,human,celseq,celseq,2
celseq_D3en1_11,D3,acinar,human,celseq,celseq,2
celseq_D3en1_13,D3,acinar,human,celseq,celseq,2
celseq_D3en1_26,D3,acinar,human,celseq,celseq,2
celseq_D3en1_29,D3,ductal,human,celseq,celseq,16
celseq_D3en1_30,D3,ductal,human,celseq,celseq,1
