cell_id,donor,cell_type,species,batch_nn,dataset,batch,leiden
celseq_D2ex_1-0,D2,acinar,human,celseq,celseq,0,5
celseq_D2ex_2-0,D2,acinar,human,celseq,celseq,0,5
celseq_D2ex_3-0,D2,acinar,human,celseq,celseq,0,5
celseq_D2ex_4-0,D2,ductal,human,celseq,celseq,0,1
celseq_D2ex_5-0,D2,ductal,human,celseq,celseq,0,1
celseq_D2ex_6-0,D2,ductal,human,celseq,celseq,0,1
celseq_D2ex_7-0,D2,ductal,human,celseq,celseq,0,1
celseq_D2ex_8-0,D2,ductal,human,celseq,celseq,0,1
celseq_D2ex_9-0,D2,ductal,human,celseq,celseq,0,1
celseq_D2ex_10-0,D2,acinar,human,celseq,celseq,0,5
celseq_D2ex_11-0,D2,ductal,human,celseq,celseq,0,10
celseq_D2ex_12-0,D2,ductal,human,celseq,celseq,0,1
celseq_D2ex_13-0,D2,acinar,human,celseq,celseq,0,5
celseq_D2ex_14-0,D2,ductal,human,celseq,celseq,0,1
celseq_D2ex_15-0,D2,acinar,human,celseq,celseq,0,5
celseq_D2ex_16-0,D2,acinar,human,celseq,celseq,0,5
celseq_D2ex_17-0,D2,ductal,human,celseq,celseq,0,1
celseq_D2ex_18-0,D2,acinar,human,celseq,celseq,0,5
celseq_D2ex_19-0,D2,ductal,human,celseq,celseq,0,1
celseq_D2ex_20-0,D2,ductal,human,celseq,celseq,0,1
celseq_D2ex_21-0,D2,acinar,human,celseq,celseq,0,5
celseq_D2ex_22-0,D2,ductal,human,celseq,celseq,0,1
celseq_D2ex_23-0,D2,ductal,human,celseq,celseq,0,1
celseq_D2ex_24-0,D2,acinar,human,celseq,celseq,0,5
celseq_D2ex_25-0,D2,ductal,human,celseq,celseq,0,1
celseq_D2ex_26-0,D2,acinar,human,celseq,celseq,0,5
celseq_D2ex_27-0,D2,ductal,human,celseq,celseq,0,1
celseq_D2ex_28-0,D2,ductal,human,celseq,celseq,0,1
celseq_D2ex_29-0,D2,ductal,human,celseq,celseq,0,1
celseq_D2ex_30-0,D2,ductal,human,celseq,celseq,0,1
celseq_D2ex_33-0,D2,ductal,human,celseq,celseq,0,1
celseq_D2ex_34-0,D2,acinar,human,celseq,celseq,0,5
celseq_D2ex_35-0,D2,ductal,human,celseq,celseq,0,1
celseq_D2ex_36-0,D2,ductal,human,celseq,celseq,0,1
celseq_D2ex_37-0,D2,acinar,human,celseq,celseq,0,5
celseq_D2ex_38-0,D2,ductal,human,celseq,celseq,0,1
celseq_D2ex_40-0,D2,acinar,human,celseq,celseq,0,5
celseq_D2ex_41-0,D2,acinar,human,celseq,celseq,0,5
celseq_D2ex_43-0,D2,beta,human,celseq,celseq,0,3
celseq_D2ex_44-0,D2,acinar,human,celseq,celseq,0,5
celseq_D2ex_46-0,D2,acinar,human,celseq,celseq,0,5
celseq_D2ex_47-0,D2,ductal,human,celseq,celseq,0,1
celseq_D2ex_49-0,D2,ductal,human,celseq,celseq,0,1
celseq_D2ex_51-0,D2,acinar,human,celseq,celseq,0,5
celseq_D2ex_52-0,D2,ductal,human,celseq,celseq,0,1
celseq_D2ex_53-0,D2,ductal,human,celseq,celseq,0,1
celseq_D2ex_55-0,D2,ductal,human,celseq,celseq,0,1
celseq_D2ex_56-0,D2,ductal,human,celseq,celseq,0,1
celseq_D2ex_57-0,D2,ductal,human,celseq,celseq,0,1
celseq_D2ex_58-0,D2,ductal,human,celseq,celseq,0,10
celseq_D2ex_59-0,D2,acinar,human,celseq,celseq,0,5
celseq_D2ex_61-0,D2,acinar,human,celseq,celseq,0,5
celseq_D2ex_62-0,D2,ductal,human,celseq,celseq,0,1
celseq_D2ex_66-0,D2,acinar,human,celseq,celseq,0,5
celseq_D2ex_67-0,D2,ductal,human,celseq,celseq,0,1
celseq_D2ex_68-0,D2,ductal,human,celseq,celseq,0,1
celseq_D2ex_69-0,D2,acinar,human,celseq,celseq,0,5
celseq_D2ex_70-0,D2,acinar,human,celseq,celseq,0,5
