"","rank","0","1","10","11","12","13","14","15","16","17","18","19","2","20","21","22","3","4","5","6","7","8","9"
"1",1,"RPL32","S100A8","CCL5","NKG7","HLA-DRB1","S100A8","MT-CYB","CD79B","ITM2C","PPBP","GNLY","ACTG1","IL32","S100A8","JCHAIN","PRSS57","LYZ","CD79A","CCL5","CD8B","RPS15A","LST1","MS4A1"
"2",2,"RPS15A","S100A9","GZMK","PRF1","HLA-DPB1","S100A9","MT-ATP6","CD79A","LILRA4","SDPR","CTSW","PFN1","LTB","CD79A","MZB1","SERPINB1","CTSS","CD74","NKG7","CD8A","RPS27A","COTL1","CD79A"
"3",3,"RPS14","S100A6","NKG7","GNLY","HLA-DRA","LYZ","MT-CO2","MS4A1","IRF7","NRGN","NKG7","TMSB10","LDHB","MS4A1","PPIB","HNRNPA1","FCN1","CD79B","IL32","RPL32","RPS12","AIF1","CD74"
"4",4,"RPS27A","LYZ","GZMA","CST7","HLA-DPA1","S100A12","MALAT1","IGHM","PLD4","HIST1H2AC","KLRD1","CORO1A","IL7R","S100A9","SEC11C","RP11-620J15.3","CST3","CD37","CTSW","RPS14","RPL32","FCER1G","CD79B"
"5",5,"RPS25","TYROBP","KLRB1","CTSW","HLA-DQA1","FCN1","MT-CO3","CD37","IRF8","PF4","CD7","ACTB","CD3D","CD74","ITM2C","NPM1","TYROBP","TCL1A","B2M","RPS12","LDHB","FCGR3A","BANK1"
"6",6,"RPS3A","FTL","CTSW","GZMB","CST3","FTL","MT-ND5","IGHD","JCHAIN","TUBB1","XCL2","IL32","EEF1A1","CD79B","TNFRSF17","SOX4","GPX1","MS4A1","HLA-A","RPS3A","RPS14","FTL","CD37"
"7",7,"RPS12","FCN1","IL32","GZMA","FCER1A","CTSS","RPL32","LINC00926","SEC61B","GNG11","TRDC","ARHGDIB","TRAC","IGHM","HSP90B1","CAT","PSAP","IGHM","CST7","RP11-291B21.2","RPL11","SAT1","HLA-DQA1"
"8",8,"RPL35A","S100A4","CST7","FGFBP2","HLA-DQB1","S100A6","MT-ATP8","CD74","SERPINF1","GPX1","HOPX","GAPDH","CD3E","HLA-DRB1","SSR4","RPS24","FTH1","HLA-DRA","HLA-C","RPS15A","RPS25","PSAP","HLA-DRA"
"9",9,"RPL11","GPX1","KLRG1","KLRD1","CD74","AIF1","MT-ND3","HLA-DQB1","TCF4","CLU","XCL1","AES","CD2","MNDA","SUB1","GNB2L1","S100A9","HLA-DPB1","CD3D","RPS25","RPS3","FTH1","HLA-DPB1"
"10",10,"LDHB","S100A12","LYAR","CD247","HLA-DMA","CSTA","MT-ND4L","IGKC","C12orf75","SPARC","KLRC1","CFL1","RPSA","LINC00926","IGHA1","STMN1","GSTP1","HLA-DQB1","GZMA","RPS5","EEF1A1","LINC01272","HLA-DPA1"
